,ward code,ward name,Provides no unpaid care,Provides 1 to 19 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week,Very good health,Good health,Fair health,Bad health,Very bad health
0,E09000001,City of London,6799,455,51,70,4112,2374,643,190,56
1,E05000026,Abbey,11922,501,168,195,6555,4418,1260,433,120
2,E05000027,Alibon,9449,475,176,285,4835,3574,1279,514,183
3,E05000028,Becontree,10551,563,166,265,5415,3861,1465,631,173
4,E05000029,Chadwell Heath,9059,529,159,274,4385,3430,1524,534,148
5,E05000030,Eastbrook,9495,563,166,282,4844,3602,1439,473,148
6,E05000031,Eastbury,10580,536,206,302,5440,3896,1540,551,197
7,E05000032,Gascoigne,11609,431,176,236,6298,3986,1441,555,172
8,E05000033,Goresbrook,10283,472,218,294,5287,3748,1516,555,161
9,E05000034,Heath,9831,470,169,316,4837,3652,1576,539,182
10,E05000035,Longbridge,10385,687,188,218,5601,3994,1360,397,126
11,E05000036,Mayesbrook,9329,528,173,312,4674,3507,1438,557,166
12,E05000037,Parsloes,8926,436,185,292,4557,3246,1335,533,168
13,E05000038,River,9991,469,165,298,5187,3678,1466,465,127
14,E05000039,Thames,9957,396,164,211,5547,3321,1263,456,141
15,E05000040,Valence,8910,512,142,303,4391,3369,1357,585,165
16,E05000041,Village,9901,463,164,259,5013,3655,1464,503,152
17,E05000042,Whalebone,9532,606,156,281,4953,3783,1319,405,115
18,E05000043,Brunswick Park,14669,1162,222,341,8049,5616,1964,582,183
19,E05000044,Burnt Oak,16658,833,308,418,8577,6381,2148,828,283
20,E05000045,Childs Hill,18417,1117,247,268,10500,6479,2062,733,275
21,E05000046,Colindale,15913,701,205,279,8344,6048,1889,622,195
22,E05000047,Coppetts,15795,956,229,270,8793,5780,1805,662,210
23,E05000048,East Barnet,14492,1110,212,323,8186,5362,1851,572,166
24,E05000049,East Finchley,14687,867,195,240,8278,5094,1863,567,187
25,E05000050,Edgware,15085,1087,247,309,8684,5383,1943,545,173
26,E05000051,Finchley Church End,14259,990,223,243,8340,5094,1716,439,126
27,E05000052,Garden Suburb,14596,1008,139,186,9287,4853,1358,309,122
28,E05000053,Golders Green,17239,1056,229,294,10538,5565,1890,612,213
29,E05000054,Hale,15713,1107,246,371,8709,6007,1915,584,222
30,E05000055,Hendon,17042,924,220,286,9898,5921,1902,546,205
31,E05000056,High Barnet,13736,1150,177,244,7937,5001,1716,462,191
32,E05000057,Mill Hill,16647,1203,253,348,9832,6048,1831,577,163
33,E05000058,Oakleigh,14218,1106,176,311,8147,5211,1722,525,206
34,E05000059,Totteridge,13698,1052,170,239,8041,4907,1611,469,131
35,E05000060,Underhill,14242,1094,199,380,7482,5420,2128,671,214
36,E05000061,West Finchley,15167,928,207,231,8661,5391,1782,561,138
37,E05000062,West Hendon,15900,931,243,328,8554,5989,1995,636,228
38,E05000063,Woodhouse,15893,1105,239,338,8616,5958,2081,695,225
39,E05000064,Barnehurst,9300,728,129,261,4881,3688,1381,348,120
40,E05000065,Belvedere,10811,618,175,286,5627,4160,1475,480,148
41,E05000066,Blackfen and Lamorbey,9495,753,115,253,5200,3710,1264,349,93
42,E05000067,Blendon and Penhill,9741,757,138,274,5476,3737,1256,357,84
43,E05000068,Brampton,9253,835,172,286,4909,3820,1350,381,86
44,E05000069,Christchurch,9868,742,135,220,5124,3897,1488,338,118
45,E05000070,Colyers,10041,641,141,305,5078,3923,1461,509,157
46,E05000071,Crayford,10150,631,155,290,5106,4017,1490,477,136
47,E05000072,Cray Meadows,9994,738,149,326,5119,3869,1550,503,166
48,E05000073,Danson Park,9739,723,130,272,5098,3868,1401,398,99
49,E05000074,East Wickham,9626,758,163,311,4885,3885,1506,464,118
50,E05000075,Erith,10961,633,156,303,5912,4047,1455,493,146
51,E05000076,Falconwood and Welling,9644,805,133,218,5236,3956,1217,292,99
52,E05000077,Lesnes Abbey,10207,682,176,281,5394,3775,1555,491,131
53,E05000078,Longlands,9370,752,104,216,5083,3446,1384,422,107
54,E05000079,North End,10502,526,185,353,5575,3783,1541,513,154
55,E05000080,Northumberland Heath,9448,730,144,276,4955,3841,1321,371,110
56,E05000081,St Mary's,9350,788,105,248,5247,3594,1236,329,85
57,E05000082,St Michael's,9966,682,180,307,5498,3926,1254,353,104
58,E05000083,Sidcup,9778,763,101,202,5347,3740,1247,393,117
59,E05000084,Thamesmead East,11231,467,165,231,6573,3764,1183,427,147
60,E05000085,Alperton,12756,716,268,277,6361,5358,1686,463,149
61,E05000086,Barnhill,14391,806,279,296,7476,5481,1914,670,231
62,E05000087,Brondesbury Park,12014,659,152,198,6664,4117,1473,584,185
63,E05000088,Dollis Hill,12240,665,239,281,6327,4669,1701,566,162
64,E05000089,Dudden Hill,13862,706,234,257,7252,5204,1824,596,183
65,E05000090,Fryent,12243,733,200,269,6383,4825,1577,494,166
66,E05000091,Harlesden,15858,754,229,321,8095,5815,2125,814,313
67,E05000092,Kensal Green,13753,737,178,247,7451,4925,1682,640,217
68,E05000093,Kenton,10799,900,184,250,5502,4453,1604,416,158
69,E05000094,Kilburn,15773,733,223,260,8448,5535,1935,796,275
70,E05000095,Mapesbury,14463,683,162,221,8061,5090,1630,552,196
71,E05000096,Northwick Park,11553,807,222,229,6268,4639,1392,384,128
72,E05000097,Preston,14043,870,249,312,7309,5623,1820,540,182
73,E05000098,Queens Park,14150,739,163,229,8392,4715,1499,503,172
74,E05000099,Queensbury,13679,856,295,325,6853,5588,1877,641,196
75,E05000100,Stonebridge,15414,776,288,425,8115,5383,2238,868,299
76,E05000101,Sudbury,13513,816,305,316,7094,5379,1681,587,209
77,E05000102,Tokyngton,13802,751,262,290,6905,5642,1795,537,226
78,E05000103,Welsh Harp,12498,724,230,301,6118,5073,1794,545,223
79,E05000104,Wembley Central,13265,773,364,325,6928,5260,1753,577,209
80,E05000105,Willesden Green,14536,609,212,230,7693,5395,1731,566,202
81,E05000106,Bickley,13596,1080,155,267,7974,4885,1636,450,153
82,E05000107,Biggin Hill,8907,743,107,194,5029,3484,1096,282,60
83,E05000108,Bromley Common and Keston,13572,990,199,352,7591,5089,1772,515,146
84,E05000109,Bromley Town,15358,1094,147,227,8946,5634,1679,457,110
85,E05000110,Chelsfield and Pratts Bottom,12937,1120,158,292,7520,4958,1573,362,94
86,E05000111,Chislehurst,13322,1083,138,288,7645,4890,1702,441,153
87,E05000112,Clock House,14249,934,145,232,8015,5279,1682,462,122
88,E05000113,Copers Cope,14056,990,135,211,7837,5391,1627,418,119
89,E05000114,Cray Valley East,13853,930,224,438,6949,5481,2139,673,203
90,E05000115,Cray Valley West,15042,971,238,518,7685,5679,2343,793,269
91,E05000116,Crystal Palace,11349,587,138,181,5895,4202,1506,514,138
92,E05000117,Darwin,4483,432,69,126,2600,1673,657,135,45
93,E05000118,Farnborough and Crofton,12960,1165,160,347,7236,4998,1864,435,99
94,E05000119,Hayes and Coney Hall,14153,1262,182,309,8219,5478,1714,385,110
95,E05000120,Kelsey and Eden Park,14143,1257,165,327,8289,5303,1730,455,115
96,E05000121,Mottingham and Chislehurst North,8988,563,162,274,4559,3426,1419,456,127
97,E05000122,Orpington,13616,1092,192,411,7108,5503,2006,551,143
98,E05000123,Penge and Cator,15909,927,179,311,8524,5910,2063,646,183
99,E05000124,Petts Wood and Knoll,12112,1126,136,277,7089,4676,1453,347,86
100,E05000125,Plaistow and Sundridge,13741,955,145,281,7427,5164,1812,540,179
101,E05000126,Shortlands,8773,794,106,151,5222,3308,1006,235,53
102,E05000127,West Wickham,13261,1179,159,285,7639,5163,1619,352,111
103,E05000128,Belsize,11868,593,105,136,7344,3759,1109,380,110
104,E05000129,Bloomsbury,10210,523,60,99,6061,3285,1042,370,134
105,E05000130,Camden Town with Primrose Hill,11492,787,157,177,6897,3714,1290,532,180
106,E05000131,Cantelowes,10847,703,166,209,6036,3834,1292,602,161
107,E05000132,Fortune Green,10884,553,132,171,6514,3645,1049,403,129
108,E05000133,Frognal and Fitzjohns,11169,629,72,116,7393,3333,948,221,91
109,E05000134,Gospel Oak,10162,697,177,228,5625,3402,1332,664,241
110,E05000135,Hampstead Town,10376,681,79,134,6877,3111,899,291,92
111,E05000136,Haverstock,11302,664,155,243,6005,3868,1576,680,235
112,E05000137,Highgate,9736,887,133,199,5690,3417,1193,467,188
113,E05000138,Holborn and Covent Garden,12049,623,166,185,6634,4118,1461,607,203
114,E05000139,Kentish Town,12415,681,125,196,7084,4182,1409,542,200
115,E05000140,Kilburn,11101,582,158,197,5720,3865,1530,695,228
116,E05000141,King's Cross,11103,472,107,161,6386,3603,1236,448,170
117,E05000142,Regent's Park,12482,610,201,235,7046,4127,1512,624,219
118,E05000143,St Pancras and Somers Town,12589,707,201,321,6361,4469,1858,814,316
119,E05000144,Swiss Cottage,12026,604,118,152,7328,3924,1164,361,123
120,E05000145,West Hampstead,11221,555,125,159,6691,3678,1063,473,155
121,E05000146,Addiscombe,15583,872,187,241,8015,6126,1927,624,191
122,E05000147,Ashburton,13195,976,199,351,6880,5378,1806,518,139
123,E05000148,Bensham Manor,14831,849,219,302,7747,5813,1880,574,187
124,E05000149,Broad Green,17163,794,313,382,8752,6691,2224,753,232
125,E05000150,Coulsdon East,10916,913,127,288,5759,4372,1585,416,112
126,E05000151,Coulsdon West,12116,959,170,204,6806,4598,1536,401,108
127,E05000152,Croham,14436,982,184,188,8144,5449,1650,421,126
128,E05000153,Fairfield,15322,847,178,222,8237,5856,1804,506,166
129,E05000154,Fieldway,10417,517,196,349,5326,3847,1565,583,158
130,E05000155,Heathfield,11828,964,156,265,6257,4715,1690,440,111
131,E05000156,Kenley,13517,1036,165,248,7620,5147,1652,416,131
132,E05000157,New Addington,9705,586,190,320,4749,3769,1623,492,168
133,E05000158,Norbury,14870,1016,239,351,7721,6001,1999,562,193
134,E05000159,Purley,13222,1049,128,208,7446,5024,1578,421,138
135,E05000160,Sanderstead,11259,1113,138,267,6505,4425,1380,367,100
136,E05000161,Selhurst,16619,871,257,340,8438,6277,2294,804,274
137,E05000162,Selsdon and Ballards,10306,1016,140,257,5727,4265,1326,317,84
138,E05000163,Shirley,12674,1097,203,322,6717,5207,1752,473,147
139,E05000164,South Norwood,15191,895,207,225,7837,5885,1997,612,187
140,E05000165,Thornton Heath,15147,889,229,274,7960,5870,1927,601,181
141,E05000166,Upper Norwood,14555,1035,188,304,7771,5685,1905,526,195
142,E05000167,Waddon,15604,908,222,343,7955,6003,2240,639,240
143,E05000168,West Thornton,15871,976,319,323,8236,6246,2113,687,207
144,E05000169,Woodside,15348,903,196,296,7979,5985,2020,581,178
145,E05000170,Acton Central,14329,699,179,220,7822,5067,1731,612,195
146,E05000171,Cleveland,13359,828,154,217,7701,4656,1507,533,161
147,E05000172,Dormers Wells,12514,754,305,337,6262,4863,1901,658,226
148,E05000173,Ealing Broadway,12945,768,145,171,7610,4539,1320,443,117
149,E05000174,Ealing Common,12951,741,139,188,7315,4654,1450,459,141
150,E05000175,East Acton,17373,806,223,304,9582,6302,1871,731,220
151,E05000176,Elthorne,13435,695,188,221,7371,4907,1568,543,150
152,E05000177,Greenford Broadway,16166,813,281,365,8165,6252,2233,731,244
153,E05000178,Greenford Green,13126,751,199,273,6655,5381,1663,502,148
154,E05000179,Hanger Hill,14348,793,175,245,8233,5302,1494,413,119
155,E05000180,Hobbayne,12978,783,185,283,6796,4976,1723,551,183
156,E05000181,Lady Margaret,12428,841,298,330,6207,5164,1838,525,163
157,E05000182,Northfield,12427,814,108,168,7453,4399,1212,331,122
158,E05000183,North Greenford,13389,797,267,260,6794,5585,1725,446,163
159,E05000184,Northolt Mandeville,13887,749,206,341,6942,5671,1842,554,174
160,E05000185,Northolt West End,13770,737,290,324,6902,5369,1960,651,239
161,E05000186,Norwood Green,12467,899,326,340,6401,4654,1977,752,248
162,E05000187,Perivale,14004,806,250,279,7024,5748,1906,528,133
163,E05000188,South Acton,13734,700,179,260,7359,4816,1699,738,261
164,E05000189,Southall Broadway,12046,721,350,322,5938,4799,1755,716,231
165,E05000190,Southall Green,13135,782,330,332,6615,5282,1804,642,236
166,E05000191,Southfield,12509,702,122,141,7863,4048,1051,384,128
167,E05000192,Walpole,12356,689,134,151,7375,4278,1191,374,112
168,E05000193,Bowes,12822,771,213,245,6754,4881,1654,550,212
169,E05000194,Bush Hill Park,12501,987,178,257,6533,4995,1753,493,149
170,E05000195,Chase,12478,826,165,293,6581,4692,1696,606,187
171,E05000196,Cockfosters,12362,967,190,269,6700,4635,1803,506,144
172,E05000197,Edmonton Green,16551,764,287,347,8082,6141,2505,913,308
173,E05000198,Enfield Highway,14779,717,226,305,7172,5786,2126,687,256
174,E05000199,Enfield Lock,15159,775,191,344,7772,5775,2018,677,227
175,E05000200,Grange,11418,987,117,187,6441,4265,1487,388,128
176,E05000201,Haselbury,14879,766,256,362,7149,5954,2139,744,277
177,E05000202,Highlands,11670,907,152,277,6299,4439,1676,466,126
178,E05000203,Jubilee,13155,684,188,328,6323,5123,1979,698,232
179,E05000204,Lower Edmonton,15262,704,224,341,7514,5795,2161,810,251
180,E05000205,Palmers Green,13796,844,221,301,7148,5254,1929,647,184
181,E05000206,Ponders End,14367,763,198,336,7117,5551,2064,690,242
182,E05000207,Southbury,13316,714,170,306,6752,5252,1756,601,145
183,E05000208,Southgate,13154,868,191,241,7141,4945,1693,533,142
184,E05000209,Southgate Green,12429,918,184,256,6629,4853,1653,488,164
185,E05000210,Town,13470,994,156,286,7261,5250,1791,459,145
186,E05000211,Turkey Street,13047,756,208,366,6297,5204,1984,701,191
187,E05000212,Upper Edmonton,16054,716,250,354,7732,6186,2336,799,321
188,E05000213,Winchmore Hill,12173,871,166,193,6954,4418,1496,384,151
189,E05000214,Abbey Wood,14318,744,276,366,7735,5088,1893,746,242
190,E05000215,Blackheath Westcombe,11822,758,123,172,6964,4000,1342,426,143
191,E05000216,Charlton,13175,689,205,316,7006,4769,1738,669,203
192,E05000217,Coldharbour and New Eltham,11573,919,187,383,5918,4615,1775,601,153
193,E05000218,Eltham North,11102,959,151,307,6008,4345,1558,476,132
194,E05000219,Eltham South,11273,840,160,268,5813,4516,1600,478,134
195,E05000220,Eltham West,9270,593,171,365,4599,3563,1478,573,186
196,E05000221,Glyndon,16691,823,317,340,9169,5889,2075,772,266
197,E05000222,Greenwich West,15549,636,140,202,9119,5301,1471,491,145
198,E05000223,Kidbrooke with Hornfair,12913,760,230,397,6798,4724,1877,687,214
199,E05000224,Middle Park and Sutcliffe,12022,845,228,410,6273,4560,1813,659,200
200,E05000225,Peninsula,13068,607,140,236,7563,4346,1484,508,150
201,E05000226,Plumstead,15245,848,267,376,8257,5635,1974,662,208
