,ward code,ward name,population density,median household income,unemployment rate,crime rate,% no qualifications,% no unpaid care,% healthy resident,open space,life expectancy
0,E09000001,City of London,2538.0,63620.0,2.235,13.977,6.7,92.18983050847459,96.66440677966102,-6.479,86.394
1,E05000026,Abbey,10500.0,33920.0,8.906,120.786,16.4,93.24260910370718,95.67495698420147,-0.89,81.998
2,E05000027,Alibon,7429.0,32470.0,10.203,93.15,31.2,90.98700048146365,93.28839672604718,-1.791,78.99
3,E05000028,Becontree,9269.0,33000.0,9.93,104.663,28.0,91.39021221307925,93.03594629709832,-5.47,79.23
4,E05000029,Chadwell Heath,2985.0,33920.0,8.591,83.69,29.1,90.40015966470412,93.19429198682766,1.978,80.761
5,E05000030,Eastbrook,3029.0,37400.0,8.293,61.601,29.9,90.37692747001714,94.0890919474586,5.688,79.212
6,E05000031,Eastbury,8357.0,32870.0,10.2,88.307,28.9,91.01858224363386,93.56503785271852,-8.238,82.048
7,E05000032,Gascoigne,12773.0,29480.0,12.187,109.575,25.5,93.23000321233536,94.16158046900097,-10.013,78.17
8,E05000033,Goresbrook,8692.0,33250.0,9.478,97.824,30.0,91.26653057601845,93.64515842726546,4.827,80.255
9,E05000034,Heath,5475.0,31340.0,11.851,77.107,32.1,91.14592990914147,93.31540886334136,0.441,78.502
10,E05000035,Longbridge,7281.0,40570.0,5.344,73.239,22.7,90.47743509322181,95.44345704826624,-2.19,82.24
11,E05000036,Mayesbrook,5474.0,31530.0,9.28,94.73,32.1,90.20498936375942,93.00908915103462,2.426,80.024
12,E05000037,Parsloes,8250.0,31860.0,9.462,80.694,31.8,90.72060168716332,92.87529220449233,-1.712,79.891
13,E05000038,River,3167.0,33490.0,8.455,62.899,29.9,91.4675455460954,94.58024352284171,2.923,76.543
14,E05000039,Thames,1867.0,32580.0,8.726,74.486,24.1,92.81319910514542,94.4351230425056,-6.328,80.053
15,E05000040,Valence,7692.0,33200.0,9.277,83.824,32.1,90.3010033444816,92.39890544238371,-2.382,78.847
16,E05000041,Village,5167.0,31960.0,11.868,105.654,30.3,91.78640956707147,93.92787614721423,7.87,78.451
17,E05000042,Whalebone,6781.0,37180.0,6.752,90.005,24.0,90.13711583924349,95.08274231678487,-15.172,83.446
18,E05000043,Brunswick Park,5219.0,39800.0,3.836,57.274,17.4,89.4778577528364,95.33365865560572,0.808,83.531
19,E05000044,Burnt Oak,8857.0,29400.0,6.76,74.375,23.6,91.44205961464567,93.90130098259867,-7.41,78.825
20,E05000045,Childs Hill,6516.0,38960.0,6.158,96.495,13.7,91.8599431393087,94.97231782133773,-1.013,81.107
21,E05000046,Colindale,8250.0,30170.0,4.649,56.375,18.0,93.06936483799275,95.22166335243888,-6.354,83.935
22,E05000047,Coppetts,6426.0,38090.0,4.732,104.066,15.0,91.56521739130434,94.94492753623189,-2.035,80.553
23,E05000048,East Barnet,4303.0,39870.0,4.061,58.058,17.1,89.80603581830576,95.42665923034022,4.266,83.153
24,E05000049,East Finchley,6440.0,41160.0,4.034,55.16,14.1,91.85690161986365,95.28425792732503,-3.45,83.6
25,E05000050,Edgware,3018.0,38410.0,4.215,69.218,17.0,90.1781444285031,95.70779531324725,-3.773,85.588
26,E05000051,Finchley Church End,5926.0,45030.0,3.189,48.42,12.3,90.73496659242761,96.40470887686924,-13.338,86.381
27,E05000052,Garden Suburb,3436.0,53090.0,1.94,57.443,8.2,91.63161529286208,97.29424320421872,1.413,87.129
28,E05000053,Golders Green,7150.0,40800.0,4.617,70.384,16.4,91.60909767244128,95.61589967052822,-8.931,81.646
29,E05000054,Hale,3250.0,38590.0,3.96,63.49,17.8,90.1129781499111,95.37764523713942,-5.144,83.661
